CustomerID,Age,Gender,Region,Annual_Income,Membership_Type,Membership_Years,Device_Preference,Avg_Session_Length_Min,App_Usage_Hours_Week,Website_Usage_Hours_Week,Num_Purchases_Last_Year,Customer_Satisfaction,Days_Since_Last_Purchase,Email_Engagement_Rate,Annual_Spending
1,31,Female,East,53218.35,Silver,6.98,Mobile App,32.22,1.09,1.4,14,9.37,16.8,0.249,5839.51
2,31,Male,East,53053.23,Gold,0.94,Mobile App,26.27,2.96,4.24,14,6.31,22.8,0.249,5717.21
3,31,Female,West,,Gold,5.98,Website,42.09,3.23,0.86,18,10.0,22.9,0.542,7631.73
4,30,Female,East,93316.07,Platinum,0.15,Mobile App,24.24,4.77,1.22,10,9.05,26.3,0.356,7589.57
5,24,Male,North,61626.75,Gold,4.18,Both,29.61,1.22,4.23,10,7.14,5.1,0.227,6750.69
6,21,Female,North,108143.24,Basic,0.13,Mobile App,33.46,1.62,4.19,8,7.22,26.9,0.315,6110.65
7,36,Female,East,74162.81,Silver,3.13,Mobile App,20.13,9.02,8.41,17,7.87,35.6,0.269,7277.36
8,31,Female,South,49902.19,Basic,1.48,Mobile App,27.34,5.53,1.76,15,8.38,9.8,0.277,5673.07
9,50,Male,North,72406.33,Basic,7.79,Mobile App,25.6,2.61,1.42,17,9.02,13.1,0.414,6883.46
10,41,Male,South,98427.85,Platinum,1.79,Mobile App,23.38,6.12,1.55,20,5.86,46.7,0.063,8364.72
11,41,Male,East,109032.48,Gold,7.71,Website,24.04,1.22,0.34,15,8.17,33.5,0.295,7834.85
12,30,Female,West,82076.91,Platinum,2.28,Mobile App,38.01,2.39,0.15,8,4.85,102.8,0.256,6805.34
13,37,Female,East,54665.39,Silver,0.22,Website,22.61,3.21,2.32,10,7.37,37.1,0.445,4853.93
14,42,Female,South,50219.43,Silver,0.83,Both,33.1,2.19,1.33,16,9.49,0.4,0.329,6221.04
15,46,Male,North,66278.73,Silver,1.91,Website,30.83,2.25,0.92,18,5.76,4.1,0.203,5644.44
16,37,Male,East,97332.78,Basic,9.15,Website,15.43,4.61,2.0,16,5.52,34.0,0.305,6752.0
17,50,Female,South,63058.57,Basic,0.89,Mobile App,32.67,5.58,2.36,12,7.89,2.2,0.453,5961.07
18,38,Male,East,63518.48,Silver,6.41,Mobile App,15.28,2.01,1.66,16,9.4,3.3,0.405,6290.55
19,47,Female,East,55159.77,Basic,3.6,Mobile App,33.65,0.89,1.69,10,,10.2,0.168,5443.08
20,33,Female,North,48302.48,Platinum,5.54,Both,23.44,0.72,1.32,17,5.12,28.3,0.165,7225.56
21,18,Female,North,51187.62,Basic,2.26,Website,28.08,0.39,3.2,12,5.41,32.4,0.194,4682.7
22,41,Male,North,56806.11,Basic,0.84,Mobile App,16.35,8.07,1.14,11,7.73,10.9,0.172,5432.65
23,46,Female,West,98847.64,Gold,1.09,Website,29.1,4.63,0.74,15,6.07,10.7,0.375,7000.64
24,44,Female,East,49816.43,Basic,2.41,Both,36.34,3.96,1.27,17,7.78,0.6,0.321,6177.75
25,43,Female,North,,Platinum,5.17,Website,20.74,1.81,2.23,9,7.85,38.7,0.191,6782.0
26,34,Male,West,40019.33,Gold,3.03,Website,22.54,1.81,3.35,14,6.96,2.8,0.431,5652.06
27,29,Male,South,69620.95,Basic,7.86,Both,32.09,5.7,6.67,10,9.96,22.5,0.628,7200.7
28,44,Male,South,87407.62,Gold,0.1,Website,32.32,0.64,2.01,17,8.37,9.7,0.253,7039.38
29,43,Male,West,95661.79,Silver,0.29,Website,6.09,2.08,5.52,11,9.18,46.9,0.075,5968.63
30,32,Female,North,58173.06,Gold,2.12,Mobile App,46.14,6.25,1.06,14,8.8,5.8,0.187,7028.92
31,50,Female,North,66238.95,Gold,0.92,Mobile App,32.76,2.08,0.89,17,7.4,41.7,0.497,6468.88
32,28,Female,East,51341.64,Gold,4.27,Both,34.27,4.47,2.64,14,7.35,8.1,0.035,6963.67
33,32,Male,North,65173.39,Silver,1.73,Website,26.71,2.69,2.94,18,7.21,45.9,0.124,5365.15
34,56,Male,East,60469.1,Basic,5.94,Mobile App,11.3,0.14,2.17,20,8.49,14.0,0.384,6368.21
35,48,Male,North,55292.5,Gold,4.47,Website,34.07,2.61,10.9,11,6.75,10.2,0.475,7494.79
